"SITEID","Date","LATITUDE","LONGITUDE","STATE","EASTING","NORTHING","UTMZONE","DUPLICATE.CODE","DUPLICATE.SITEID","SAMPLEID","GRAIN.SIZE","DEPTH","Type","Ag.AR","Al.AR","As.AR","Au.AR","B.AR","Ba.AR","Be.AR","Bi.AR","Ca.AR","Cd.AR","Ce.AR","Co.AR","Cr.AR","Cs.AR","Cu.AR","Dy.AR","Er.AR","Eu.AR","Fe.AR","Ga.AR","Gd.AR","Ge.AR","Hf.AR","Hg.AR","Ho.AR","In.AR","K.AR","La.AR","Li.AR","Lu.AR","Mg.AR","Mn.AR","Mo.AR","Na.AR","Nb.AR","Nd.AR","Ni.AR","Pb.AR","Pr.AR","Rb.AR","Sb.AR","Sc.AR","Se.AR","Sm.AR","Sn.AR","Sr.AR","Ta.AR","Tb.AR","Te.AR","Th.AR","Tl.AR","Tm.AR","U.AR","V.AR","W.AR","Y.AR","Zn.AR","Zr.AR","Au.FA","Pd.FA","Pt.FA","Ag.ICP","As.ICP","Ba.ICP","Be.ICP","Bi.ICP","Cd.ICP","Ce.ICP","Co.ICP","Cr.ICP","Cs.ICP","Cu.ICP","Dy.ICP","Er.ICP","Eu.ICP","Ga.ICP","Gd.ICP","Ge.ICP","Hf.ICP","Ho.ICP","La.ICP","Lu.ICP","Mo.ICP","Nb.ICP","Nd.ICP","Ni.ICP","Pb.ICP","Pr.ICP","Rb.ICP","Sb.ICP","Sc.ICP","Sm.ICP","Sn.ICP","Sr.ICP","Ta.ICP","Tb.ICP","Th.ICP","U.ICP","V.ICP","W.ICP","Y.ICP","Yb.ICP","Zn.ICP","Zr.ICP","F.ISE","Al.XRF","Ca.XRF","Cl.XRF","FeT.XRF","K.XRF","Mg.XRF","Mn.XRF","Na.XRF","P.XRF","S.XRF","Si.XRF","Ti.XRF","LOI.Cal","pH","EC"
2007190810,"14/01/08",-32.1209,116.0335,"WA",6445754.429,408827.0091,50,NA,NA,"2007190810001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.011,20400,0.4,2e-04,0.5,66.8,1,0.14,1800,0.04,55.7,12.5,27.7,0.65,24.3,2.9,1.4,0.6,30200,8.58,3.8,0.1,0.05,0.01,0.6,0.03,400,28.3,8.6,0.2,1000,327,0.31,180,0.5,19.1,14.7,19,5.4,11.7,0.04,7.5,0.11,3.7,1.35,12.7,0.025,0.5,0.03,8.4,0.08,0.2,3.8,67,0.05,14.9,32.7,2.6,0.001,0.001,9e-04,NA,1,416.3,1.9,0.21,NA,45.25,13.8,38.8,0.82,29,3.7,2.31,0.653,14,3.56,0.4,8.43,0.77,23.4,0.32,0.9,11.5,15.93,16.6,22.3,4.49,47,NA,9.6,3.73,1.9,69.7,1.24,0.66,13.11,5.09,93.6,0.9,24.5,2.36,36.2,320.3,140,54888,6196,91,34383,11630,1737,449,8087,332,234,339580,6245,71545,4.95,66.55
2007190877,"16/01/08",-34.9843,116.6303,"WA",6128635.588,466257.74,50,NA,NA,"2007190877001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.004,500,0.1,5e-05,0.5,3.2,0.05,0.01,700,0.005,1.35,0.05,0.9,0.01,0.01,0.05,0.05,0.05,300,0.11,0.05,0.05,0.05,0.005,0.05,0.01,100,0.7,0.1,0.05,200,6,0.11,60,0.1,0.46,0.05,0.37,0.1,0.1,0.01,0.3,0.005,0.05,0.025,8.3,0.025,0.05,0.01,0.4,0.01,0.05,0.05,0.5,0.05,0.15,3.6,0.2,0.001,NA,0.0011,NA,NA,8.2,NA,NA,0.18,2.59,0.4,6.3,NA,NA,0.19,0.17,NA,4.8,0.16,0.3,7.78,0.03,1.45,0.02,0.6,2.7,0.96,4.5,0.69,0.28,0.8,NA,1.4,NA,NA,6.3,0.21,NA,0.92,0.37,2.2,0.2,1.3,0.25,NA,329.7,80,921,629,98,3994,249,30,19.5,37,65,131,435121,1013,57895,4.075,21.4175
2007190954,"04/07/07",-33.518,116.8065,"WA",6291268.378,482030.3873,50,NA,NA,"2007190954001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.043,8000,0.7,0.0013,6,29.4,0.4,0.05,900,0.06,57,2.7,11,0.17,4.43,1.6,0.6,0.7,11200,3.54,2.9,0.05,0.05,0.005,0.3,0.01,500,28.6,3.3,0.05,400,192,0.26,80,0.4,16.9,3.6,14.6,5.2,7.9,0.01,2.4,0.01,2.9,0.46,6.2,0.025,0.5,0.01,11.3,0.03,0.05,0.8,39,0.05,7.81,13.3,4.1,NA,NA,5e-04,NA,NA,654.3,NA,0.1,0.14,63.59,3.8,23.7,0.79,7.2,3.44,1.89,0.711,9.4,3.23,0.2,14.4,0.66,31.82,0.31,1.1,19.3,19.15,14,28.36,5.91,99.1,NA,6.5,3.62,1,62.2,1.74,0.6,19.82,3.26,60,1,19.4,2.13,9,562.4,100,44911,1437,52,14464,23542,440,263,5319,122,80,378220,7054,33724,5.045,19.94
2007191194,"16/01/08",-34.9583,117.0406,"WA",6131580.539,503706.6958,50,NA,NA,"2007191194001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.098,1800,0.9,0.0203,0.5,6.7,0.1,0.03,300,0.005,6.41,0.2,12.7,0.19,2.69,0.1,0.05,0.05,2300,0.85,0.2,0.05,0.05,0.005,0.05,0.01,50,2.3,0.3,0.05,200,21,0.41,80,0.05,1.14,0.5,3.59,0.3,1.6,0.01,0.6,0.01,0.2,0.38,7.6,0.025,0.05,0.04,1,0.01,0.05,0.2,7,0.05,0.39,17.9,0.05,0.046,NA,NA,NA,2.1,135.4,NA,0.07,0.15,39.79,1.1,29.2,0.82,3.3,1.28,0.88,0.157,3.6,1.94,0.4,20.19,0.28,19.5,0.16,1.8,8.7,15.85,3.1,10.51,4.21,27.1,2.9,3.8,2.72,1,21.4,0.67,0.1,11.92,2.02,11.5,0.7,9,1.15,NA,807.8,140,13301,929,96,8875,5686,217,93,1105,113,126,425413,2463,36439,5.135,47.1
2007191237,"15/01/08",-34.4475,115.7768,"WA",6187545.763,387632.8225,50,NA,NA,"2007191237001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,200,0.3,5e-05,0.5,3.2,0.05,0.01,300,0.005,1.64,0.1,0.25,0.01,0.59,0.05,0.05,0.05,300,0.05,0.05,0.05,0.05,0.01,0.1,0.01,50,1,0.1,0.05,50,18,0.1,180,0.05,0.66,1,0.7,0.2,0.1,0.05,0.05,0.005,0.1,0.39,2.9,0.025,0.05,0.01,0.7,0.01,0.2,0.05,2,0.05,0.14,0.05,0.2,0.001,NA,NA,NA,NA,22.6,NA,NA,NA,3.73,0.3,10.2,NA,4.5,0.384,0.14,NA,0.5,0.217,0.29,3.91,NA,2.03,NA,NA,2.6,1.61,16.9,0.89,0.38,NA,NA,0.8,NA,NA,1.9,0.14,NA,1.29,0.31,2.4,NA,2,0.184,2.4,152.7,20,1249,436,36,5980,614,30,19.5,37,70,46,448695,1019,25514,5.015,21.85
2007191372,"16/01/08",-34.5196,115.9136,"WA",6179693.605,400286.1459,50,"Duplicate.1",2007191445,"2007191372001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.009,44400,0.05,0.0017,1,40.4,0.3,0.04,2700,0.03,30.1,4,65.4,0.45,108,1.5,0.7,0.7,61300,14.9,1.7,0.2,0.3,0.03,0.4,0.02,400,15.4,21.5,0.05,400,206,1.05,220,1,12.9,31.6,10.4,3.2,4.5,0.18,18.5,0.08,2.7,1.33,29.6,0.025,0.3,0.05,6.8,0.06,0.1,0.8,91,0.05,9.55,79.4,8.3,0.001,0.001,5e-04,NA,3.2,221.7,NA,0.08,NA,46.74,5.5,69.3,0.62,14.6,2.303,1.276,0.7717,14.9,2.937,0.57,19.21,0.433,23.15,0.183,1.4,18.5,19.65,26.4,15.83,5.01,13.6,NA,15.9,3.883,0.3,53.5,1.06,0.437,13.74,2.81,124.6,0.8,12.3,1.382,20.5,744.5,80,61478,2373,76,56665,4117,392,333,720,196,245,307035,12879,112467,6.52,89.2
2007191445,"16/01/08",-34.5201,115.9127,"WA",6179637.269,400204.1334,50,"Duplicate.2",2007191372,"2007191445001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,12600,0.05,5e-05,0.5,17.4,0.2,0.01,1000,0.02,33.1,3.9,18.2,0.3,4.12,0.8,0.2,0.2,9400,3.71,1.9,0.05,0.05,0.02,0.05,0.01,200,16,9.6,0.05,300,122,0.27,160,0.3,14.2,16,6.4,3.6,1.7,0.03,1.8,0.02,2.6,0.29,7.1,0.025,0.1,0.01,8.6,0.02,0.05,0.9,16,0.05,3.11,4.2,0.7,0.002,NA,NA,NA,NA,248.1,NA,NA,NA,71.09,4,30.7,0.3,4.9,2.1,0.857,0.2669,6,3.223,0.28,16.89,0.252,35.27,0.052,0.7,9.2,27.66,15,9.8,7.36,14.1,NA,5.1,4.829,NA,48,0.44,0.348,19.53,2.48,31.1,0.6,10.5,0.926,11.4,657.1,140,26767,2294,84,14289,5852,428,209,2574,179,135,403782,5663,39572,6.17,36.3
2007191491,"05/07/07",-33.4267,115.7117,"WA",6300665.605,380231.0151,50,NA,NA,"2007191491001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.01,2900,0.2,2e-04,1,27.2,0.1,0.03,1900,0.1,23.5,2.1,7.1,0.22,6.61,0.6,0.2,0.1,6400,1.61,1.2,0.05,0.05,0.005,0.05,0.01,300,12.1,1.7,0.05,200,205,0.39,50,0.2,7.5,1.7,6.07,2.2,3.1,0.03,1.1,0.005,1.3,0.31,11.8,0.025,0.05,0.01,3.2,0.03,0.05,0.9,13,0.05,2.75,3.8,0.3,NA,NA,6e-04,NA,NA,358.2,1.1,0.05,0.1,53.51,3.6,23.2,0.38,7.4,3.88,2.67,0.468,7,3.96,0.2,12.44,0.94,27.22,0.4,0.9,10.6,19.27,5.2,17.66,5.45,40,NA,3.8,3.82,0.6,60.5,0.83,0.8,16.37,3.2,28.9,0.4,28.6,2.77,12.9,494.7,200,27275,5153,43,12540,12319,754,310,6291,476,100,404885,5340,21345,6.075,67.8
2007191506,"03/12/07",-31.6594,116.7206,"WA",6497282.336,473512.0381,50,NA,NA,"2007191506001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.012,6300,1,0.0014,0.5,32.9,0.4,0.03,1700,0.07,43.9,6.4,46.6,0.19,10.9,1.2,0.5,0.3,15700,2.54,1.7,0.05,0.05,0.005,0.2,0.01,1000,22.4,3.5,0.05,800,201,0.46,300,0.5,18.4,14.4,9.7,4.8,8.6,0.04,3.1,0.06,3,0.49,11.5,0.025,0.2,0.06,10,0.04,0.05,0.6,25,0.05,6.03,17.3,2.6,0.001,0.001,5e-04,0.84,0.7,791.2,NA,NA,0.1,110.4,6.9,136,0.42,13.9,2.235,1.137,0.7193,8.6,3.827,0.38,9.66,0.316,59.35,0.05,0.7,7.6,41.86,18.9,28.55,11.69,78.4,NA,4.5,6.799,1.3,109.4,0.28,0.377,29.73,1.84,42.2,0.4,13.3,1.142,19.3,347.5,180,48584,5210,108,23010,25584,1592,294,9363,279,134,362688,3152,38864,5.9,78.4
2007191559,"03/12/07",-32.244,117.0386,"WA",6432517.573,503636.288,50,NA,NA,"2007191559001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.002,4600,0.05,4e-04,5,10.1,0.3,0.01,50,0.005,88.5,1.2,6.5,0.16,2.34,2,0.8,0.5,4100,1.65,3.5,0.05,0.05,0.02,0.3,0.01,400,33.8,2.9,0.05,600,27,0.14,1980,0.2,26.1,1.2,4.08,8,6.9,0.23,1.1,0.03,4.6,0.31,5.2,0.025,0.3,0.01,8.5,0.03,0.1,1,7,0.05,7.41,0.05,2.4,0.001,0.001,NA,NA,NA,417.7,NA,0.04,NA,121.8,2.2,19.1,0.46,2.6,4.9,2.61,1.012,9.3,5.41,0.2,8.7,1,48.14,0.36,0.5,8.3,37.08,5.7,17.83,11.17,69.2,NA,4.1,7.57,0.3,52,0.62,0.98,24.55,3.29,20.7,0.3,26.9,2.61,4.8,331,240,37501,1794,2833,8309,17822,832,62,7234,161,302,399033,2361,20441,5.525,2725
2007191560,"06/07/07",-31.9066,115.9629,"WA",6469447.812,401938.8082,50,NA,NA,"2007191560001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.027,32900,1.4,0.0018,0.5,70.2,1.5,0.12,1500,0.15,80.6,14.4,74.9,0.72,33.8,3.8,1.9,0.9,45400,12,4.5,0.1,0.05,0.03,0.6,0.03,2000,42.9,21.5,0.2,2200,321,1.5,690,0.7,31.7,23.6,37.8,8.7,33.7,0.15,13.4,0.18,5.6,1.65,20.2,0.025,0.6,0.05,18.6,0.17,0.2,4.9,67,0.05,20.9,51.1,5.2,0.003,0.001,9e-04,NA,3.5,437,1.9,0.4,NA,119.9,17,129.4,1.77,38.6,5.722,3.105,1.453,27.4,6.367,0.49,8.54,0.999,65.83,0.339,2.6,18.9,45.79,39,48.09,12.33,98.3,NA,14.7,8.525,3,76.9,1.21,0.967,36.22,8.84,116.6,1.6,34,2.923,67.3,305.5,240,103706,3338,498,46916,12775,3775,418,6521,463,431,243221,6377,167713,4.33,285
