"SITEID","Date","LATITUDE","LONGITUDE","STATE","EASTING","NORTHING","UTMZONE","DUPLICATE.CODE","DUPLICATE.SITEID","SAMPLEID","GRAIN.SIZE","DEPTH","Type","Ag.AR","Al.AR","As.AR","Au.AR","B.AR","Ba.AR","Be.AR","Bi.AR","Ca.AR","Cd.AR","Ce.AR","Co.AR","Cr.AR","Cs.AR","Cu.AR","Dy.AR","Er.AR","Eu.AR","Fe.AR","Ga.AR","Gd.AR","Ge.AR","Hf.AR","Hg.AR","Ho.AR","In.AR","K.AR","La.AR","Li.AR","Lu.AR","Mg.AR","Mn.AR","Mo.AR","Na.AR","Nb.AR","Nd.AR","Ni.AR","Pb.AR","Pr.AR","Rb.AR","Sb.AR","Sc.AR","Se.AR","Sm.AR","Sn.AR","Sr.AR","Ta.AR","Tb.AR","Te.AR","Th.AR","Tl.AR","Tm.AR","U.AR","V.AR","W.AR","Y.AR","Zn.AR","Zr.AR","Au.FA","Pd.FA","Pt.FA","Ag.ICP","As.ICP","Ba.ICP","Be.ICP","Bi.ICP","Cd.ICP","Ce.ICP","Co.ICP","Cr.ICP","Cs.ICP","Cu.ICP","Dy.ICP","Er.ICP","Eu.ICP","Ga.ICP","Gd.ICP","Ge.ICP","Hf.ICP","Ho.ICP","La.ICP","Lu.ICP","Mo.ICP","Nb.ICP","Nd.ICP","Ni.ICP","Pb.ICP","Pr.ICP","Rb.ICP","Sb.ICP","Sc.ICP","Sm.ICP","Sn.ICP","Sr.ICP","Ta.ICP","Tb.ICP","Th.ICP","U.ICP","V.ICP","W.ICP","Y.ICP","Yb.ICP","Zn.ICP","Zr.ICP","F.ISE","Al.XRF","Ca.XRF","Cl.XRF","FeT.XRF","K.XRF","Mg.XRF","Mn.XRF","Na.XRF","P.XRF","S.XRF","Si.XRF","Ti.XRF","LOI.Cal","pH","EC"
2007190039,"16/11/07",-27.533,115.2171,"WA",6953261.301,323934.4711,50,"Duplicate.1",2007190984,"2007190039001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.016,6200,1.9,5e-05,2,146,0.5,0.16,800,0.08,47.1,6.3,56.4,0.59,13.4,1.5,0.8,0.5,21800,3.74,2.6,0.05,0.2,0.005,0.3,0.01,2600,18.8,3.1,0.05,1100,418,0.49,120,0.2,16.3,10.1,9.82,4.3,14.3,0.08,4,0.11,3.3,0.62,11.8,0.025,0.3,0.01,10.6,0.1,0.1,1.9,51,0.05,7.59,25.6,7.7,NA,NA,7e-04,NA,3.4,659.6,NA,0.21,0.16,52.68,7.8,73.9,1.72,17.9,2.996,1.713,0.6253,10.6,2.829,0.39,9.88,0.607,25.77,0.293,1.2,11.8,17.69,20.4,20.38,5,65.1,NA,9,3.551,1.3,51.8,0.96,0.499,15.11,3.12,71.1,1.1,19.3,1.929,32.6,396.1,220,42381,1622,70,25661,13522,1737,418,2975,336,151,387535,3800,20206,6.2,45.5
2007190043,"24/01/08",-31.6369,124.9322,"WA",6498189.023,683237.9201,51,NA,NA,"2007190043001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.024,15000,1.1,0.0011,7,59.3,0.6,0.13,80100,0.11,34,6.9,61,0.99,14.6,1.5,0.8,0.5,19400,5.41,2.4,0.05,0.05,0.02,0.3,0.02,8800,14,8.6,0.05,5500,356,0.19,680,0.3,13.1,19.7,7.59,3.3,19.1,0.14,4.7,0.12,2.9,0.63,171,0.025,0.3,0.04,2.1,0.14,0.1,0.2,27,0.05,8.2,22,1.2,0.001,NA,5e-04,NA,2.4,182.4,NA,0.23,NA,33.57,8.3,80,1.83,17.2,2.323,1.408,0.624,8.9,2.464,0.35,6.72,0.514,15.99,0.241,0.5,6.4,13.56,25.5,10.03,3.52,38.7,NA,10.6,3.062,0.8,202.9,0.51,0.416,7.82,0.8,40.3,0.7,16.6,1.494,31.4,277.1,200,35331,88730,47,19793,10177,7109,325,1491,249,298,279931,3134,148672,8.56,93.2
2007190048,"09/05/08",-21.7283,117.2566,"WA",7597223.929,526536.69,50,NA,NA,"2007190048001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.079,23100,17.8,0.0033,3,348,1.7,0.3,31700,0.13,70.4,28.4,131,2.91,54.5,3.2,1.7,1.1,120000,12.8,5.3,0.2,0.3,0.02,0.6,0.07,4700,30,12.9,0.2,6000,2770,1.5,110,0.2,27.9,49.4,32.5,7,34,0.88,11.1,0.25,6.2,2.29,60.3,0.025,0.6,0.08,8.2,0.49,0.2,1.4,157,0.05,17.2,41.7,19,0.003,0.002,0.0022,NA,18.9,390.3,1.5,0.36,0.17,61.15,28.2,140.6,4.81,51.6,5.284,3.048,1.2649,17.2,5.206,0.37,5.06,1.079,32.19,0.465,1.1,10.5,26.98,50.4,23.28,6.84,72.7,2.2,13.1,5.824,2.2,66.5,0.89,0.949,11.72,2.73,152.6,1.6,33.7,3.224,53.5,190.4,380,62135,35385,36,110211,11738,10739,1487,1105,323,173,234088,4555,130295,8.005,48.6
2007190050,"05/04/08",-20.5204,118.4963,"WA",7730215.297,656013.4731,50,"Duplicate.1",2007191481,"2007190050001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.008,3400,1.4,1e-04,0.5,21.5,0.2,0.07,400,0.005,17.3,3.1,44.2,0.54,4.84,0.5,0.3,0.1,10500,1.61,1,0.05,0.05,0.005,0.05,0.01,500,8,2.9,0.05,500,188,0.16,30,0.3,6.39,10.4,3.6,1.7,6,0.1,1.3,0.03,1.3,0.34,5,0.025,0.05,0.01,3.4,0.05,0.05,0.6,15,0.1,2.55,5.2,1.9,NA,NA,NA,NA,1.4,550.9,1.8,0.12,NA,18.35,3.2,57,4.34,6.8,1.683,1.129,0.2576,8.5,1.476,NA,3.04,0.367,9.47,0.175,NA,3.5,7.35,14.4,20.69,1.98,186.9,NA,2.9,1.622,0.7,43.4,0.44,0.277,6.37,1.49,14.7,0.3,12,1.225,12.2,109,120,40211,1437,42,10967,33370,724,155,5342,127,21,396626,959,6631,6.245,4.73
2007190052,"19/02/08",-34.0724,119.5498,"WA",6226882.022,735297.6887,50,NA,NA,"2007190052001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.005,12400,3.8,3e-04,7,66.5,1.1,0.06,2900,0.03,68.9,6.9,34.1,0.67,15.6,1.7,0.8,0.6,22200,4.79,3.4,0.05,0.1,0.02,0.3,0.01,2900,32,12.4,0.05,3100,294,0.56,8270,0.3,24.4,16.6,15.2,6.4,15.1,0.06,4,0.31,4.4,0.43,36.6,0.025,0.3,0.09,10.4,0.08,0.05,1.7,39,0.05,8.15,23.1,6.3,NA,NA,6e-04,NA,5.2,420.8,1.4,0.19,NA,73.68,9.3,63.7,1.7,18.8,3.043,1.653,0.9234,13.9,3.63,NA,8.76,0.614,37.86,0.262,1.2,10.6,26.47,22.9,21.17,7.38,69.3,NA,9,4.939,1.4,86.5,0.81,0.591,18.54,3.11,71.9,0.6,18.8,1.669,31,330.2,340,57588,3874,9431,27626,16469,5783,302,12909,463,1488,298070,4039,142062,5.08,4960
2007190058,"17/01/08",-34.9353,117.4727,"WA",6134029.905,543168.7522,50,NA,NA,"2007190058001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.028,200,0.2,2e-04,0.5,1.3,0.05,0.01,300,0.01,2.51,0.5,1.1,0.01,0.2,0.05,0.05,0.05,200,0.15,0.05,0.05,0.05,0.005,0.05,0.01,50,1.4,0.05,0.05,50,6,0.35,50,0.1,0.69,1.1,0.58,0.3,0.05,0.03,0.3,0.01,0.05,0.12,2.3,0.025,0.05,0.01,0.5,0.01,0.05,0.05,0.5,0.05,0.11,1.8,0.5,NA,NA,NA,NA,1.7,12.9,NA,0.05,NA,4.05,0.3,11.2,NA,3.4,0.754,0.65,0.0414,0.4,0.408,0.29,14.31,0.185,2.21,0.156,2.2,8.5,1.5,4.4,1.49,0.42,3.6,NA,4.4,NA,1.1,7.5,0.73,0.104,1.96,0.81,6.4,0.6,6.2,0.786,2.1,588.9,100,1419,536,135,5721,266,30,19.5,37,52,81,439305,3248,41688,4.1775,22.285
2007190066,"09/06/08",-20.3197,119.2589,"WA",7751524.923,735858.7241,50,NA,NA,"2007190066001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.016,10300,3.2,7e-04,0.5,69.2,0.6,0.16,3300,0.05,29.7,14.8,104,1.66,30.6,1.6,0.8,0.4,35600,5.38,2.4,0.05,0.2,0.005,0.3,0.02,1600,17.4,15.7,0.05,6100,436,0.18,90,0.4,13.5,54.7,7.74,3.6,12.8,0.23,5.4,0.06,2.7,0.86,18.6,0.025,0.3,0.01,7.2,0.11,0.1,1.3,54,0.05,9.08,46.1,7.8,0.002,0.001,0.0017,NA,3.2,599.9,2.1,0.27,0.37,38.56,17.7,214,4.82,34.2,4.293,2.77,0.7975,15.9,3.671,0.36,9.75,0.938,20.91,0.466,0.5,10.1,16.95,59.3,17.18,4.46,112.3,NA,10.9,3.887,2.2,135.2,1.28,0.715,14.42,3.05,92.8,0.8,29.1,3.164,65.6,355.6,340,67221,10034,67,42076,21807,11029,596,15550,231,49,327180,4884,22954,6.9,14.17
2007190067,"09/12/07",-31.2341,121.962,"WA",6543989.086,401146.614,51,"Duplicate.1",2007191121,"2007190067001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.01,4600,3.5,0.0011,2,121,0.2,0.17,200,0.005,10.8,4.8,375,0.3,6.5,0.7,0.3,0.2,35600,2.85,0.9,0.05,0.2,0.005,0.1,0.01,1100,5.8,4.5,0.05,1200,324,0.17,3560,0.1,5.1,32.6,4.58,1.3,3.8,0.27,3.6,0.1,1.1,0.25,6.7,0.025,0.1,0.02,3,0.03,0.05,0.4,63,0.05,3.31,11.7,7.4,0.001,NA,9e-04,NA,3.9,390.4,2.1,0.14,0.32,11.59,5.4,375.6,1,10.4,0.881,0.532,0.2211,5.4,0.846,0.29,1.94,0.161,6.17,0.063,0.4,2.5,5.22,30.6,7.77,1.36,17.3,NA,4.5,0.989,0.3,52,0.2,0.127,4.1,0.78,66.8,0.5,5.5,0.559,20.6,68.8,200,17282,1265,5163,33550,4557,1791,349,6877,113,344,415902,2169,25,6.49,3670
2007190071,"04/12/07",-32.0515,118.1664,"WA",6453261.044,610114.4362,50,"Duplicate.1",2007190289,"2007190071001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,3100,0.6,2e-04,0.5,20.5,0.2,0.01,100,0.005,22.2,1.3,6.2,0.1,0.58,0.7,0.3,0.2,2600,1.02,1.2,0.05,0.05,0.005,0.1,0.01,300,9.3,2.3,0.05,300,24,0.04,900,0.1,7.25,2.9,9.41,2,2.4,0.01,0.9,0.03,1.3,0.07,3.2,0.025,0.1,0.01,4.4,0.01,0.05,0.4,6,0.05,3.25,1.1,1.5,NA,NA,NA,NA,NA,316.6,NA,0.03,0.32,22.56,1.5,12.7,0.17,3.5,0.973,0.532,0.325,3.7,0.942,0.22,4.65,0.176,10.11,0.069,NA,2.8,7.09,7,15.03,1.93,20.7,NA,2,1.155,0.3,50.3,0.19,0.153,6.75,0.86,9.5,NA,5.3,0.591,4,176,140,17610,1765,1287,4840,7272,151,19.5,4110,70,96,432668,1306,13089,5.465,986.5
2007190073,"11/12/07",-32.5727,118.4508,"WA",6395153.596,636183.3609,50,NA,NA,"2007190073001 Coarse","lt.2.mm","TOS","TOS.lt.2.mm",0.001,3300,0.5,0.0011,0.5,26.3,0.05,0.02,700,0.005,15.5,1.9,5.1,0.11,0.64,0.3,0.1,0.1,2400,1.13,0.7,0.05,0.05,0.005,0.05,0.01,300,6.8,2.4,0.05,200,84,0.04,130,0.05,4.93,2,13.4,1.4,2.6,0.01,1.1,0.01,1,0.09,5.2,0.025,0.05,0.01,7.9,0.02,0.05,1.1,7,0.05,1.34,0.05,1.4,NA,NA,NA,NA,NA,287.8,NA,0.03,0.26,15.39,1.6,11.9,0.22,8.3,0.55,0.362,0.1615,3.6,0.614,0.22,3.17,0.092,7.73,0.032,0.4,2.8,4.95,5.9,16.96,1.37,31.3,NA,1.7,0.805,0.3,34,0.16,0.071,10.16,1.46,8.9,0.1,3.6,0.351,5.6,118,120,18743,1522,75,5162,9148,30,62,2678,74,60,429863,1157,18191,6.205,25.9
