Street,street_lon,street_lat,street_E,street_N,veg_lon,veg_lat,veg_E,veg_N,bound_lon,bound_lat,bound_E,bound_N,Drain,drain_lon,drain_lat,drain_E,drain_N,Wetland,wetland_lon,wetland_lat,wetland_E,wetland_N,swan_lon,swan_lat,swan_E,swan_N,Path,path_lon,path_lat,path_E,path_N
West _Rd,115.952742,-31.91613593,400988.5,6468381.5,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434178,-31.91908591,400110.1,6468046,N,115.9449,-31.91708,400251.9,6468270,115.9489,-31.9233,400629.3,6467584,Footpath,115.9478723,-31.9224005,400534.82,6467682.6
West _Rd,115.9500268,-31.91992468,400735.86,6467959.1,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434257,-31.91910605,400110.87,6468043.7,N,115.9449,-31.91701,400250,6468278,115.9494,-31.92334,400684,6467580,Footpath,115.9481169,-31.92247894,400558.03,6467674.2
West _Rd,115.9494908,-31.92065036,400685.96,6467878.1,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434244,-31.91913065,400110.78,6468041,N,NA,NA,NA,NA,115.9499,-31.92335,400730.8,6467580,Footpath,115.9482828,-31.92252509,400573.77,6467669.2
West _Rd,115.9491178,-31.92120433,400651.29,6467816.4,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434402,-31.91915861,400112.3,6468037.9,NE,115.9466,-31.91695,400405.8,6468285,115.9505,-31.9233,400781.8,6467585,Footpath,115.9483045,-31.92250432,400575.8,6467671.5
West _Rd,115.9491411,-31.92132304,400653.62,6467803.2,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434284,-31.91919664,400111.23,6468033.7,NE,115.9463,-31.91724,400378.1,6468253,115.951,-31.92328,400830.1,6467588,Footpath,115.9484133,-31.92210513,400585.65,6467715.9
West _Rd,115.9504348,-31.92220973,400776.88,6467706.1,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.9434323,-31.91922795,400111.63,6468030.2,NE,115.9462,-31.91724,400369.4,6468253,115.9513,-31.92323,400856.4,6467594,Footpath,115.9484975,-31.92182362,400593.31,6467747.2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,South_Chapman,115.943431,-31.91926262,400111.54,6468026.4,NE,115.9461,-31.91727,400363.4,6468250,115.9515,-31.92306,400880.8,6467613,Footpath,115.9485628,-31.92164826,400599.3,6467766.7
Maley_St,115.93986,-31.918754,399773.1,6468079.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.946,-31.9172,400356.3,6468257,115.9518,-31.92277,400911.2,6467645,Footpath,115.9487476,-31.92142674,400616.53,6467791.4
Maley_St,115.93919,-31.918159,399709.11,6468144.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.946,-31.91721,400352.3,6468256,115.9523,-31.92229,400950.4,6467699,Footpath,115.9490177,-31.92114524,400641.76,6467822.8
Maley_St,115.93917,-31.918103,399706.97,6468151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,115.9458,-31.91745,400331.5,6468229,115.9526,-31.92189,400979.6,6467743,Footpath,115.9492161,-31.92087296,400660.23,6467853.2
